href,comments,timestamp,ig_user
,"Parabéns por todo o esforço, dedicação e amor pelo que faz. Parabéns por ser mulher e empreendedora. Você inspira outras mulheres 💗💗💗💗 senti o amor e o peso da batalha nesse pequeno texto",1581502615,@arraseane.store
,A vida é frágil e finita,1580957023,@entreparabrisa
,Maravilhosa 💓,1580659128,@tabatachang
,que trabalho perfeito😍,1580658016,@trowfilmes
,"Parabéns, coisa linda. Você merece o mundo",1580439971,@luziarodrigueses
,😍💓,1580057403,@darmaespiritual
,Qual o valor ?,1579575967,@nutri.sanus2020
,Nossa,1579401376,@rochacarlae
,"Relação platônica é a que temos, univasf. Infelizmente",1579301006,@univasf
,Sou fã,1578938522,@__starangel
,Vozes que parecem poesias,1578938516,@__starangel
,"amo demais, demais, coisas lindas e talentosas",1578938511,@__starangel
,FALTA ESTRUTURA,1578938495,@__starangel
,:,1578938487,@__starangel
,"Tenho estrutura pra muito coisa nessa vida, mas pra vocês três juntas cantando",1578938481,@__starangel
,Amo vcs,1578781824,@__starangel
,😍😍😍😍 divas,1578593961,@__starangel
,Fadaaa,1578516511,@nandasouzatattoo
,Valor ?,1578347438,@donakasahomedecor
,❤️❤️,1577989249,@arthur_leo65
,💗💗,1577803219,@ingridjordania.s
,Que casal lindo mdssss,1577550801,@izabela_ribeiromk
,Tá disponível ainda ?,1577381654,@la.lunnas
,@italogiullian lindo dmv,1577298144,@darmaespiritual
,Maravilhosa essa profissional,1577210709,@mrafaelalopes
,Real oficial,1577097081,@geografiaacademica
,Mas gente,1577097078,@geografiaacademica
,😍😍😍,1577019342,@gab.olivers
,Ainda disponível ?,1576246757,@la.lunnas
,Eu sou charmoso e meu nome é Raul,1575940979,@olgazevedo
,Eu sou lindo e meu nome é Raul,1575940968,@olgazevedo
,Maravilhosooo,1575853176,@mikaella.desouza
,Poderosíssima essa mulher 💗,1575510904,@mrafaelalopes
,@italogiullian vamo comprarrr,1574987751,@thiago.nigro
,Musa,1574126993,@mrafaelalopes
,Qual valor?,1574031838,@naidinha_calcados
,@andriellysousa__ kkkkkkkkk TD mundo fudido com esse tema,1572904647,@paginalixo
,Parabéns,1572752693,@mrafaelalopes
,Diva da geografia,1572750244,@adeisaguimaraes
,A melhor das melhores pra sempre,1572750232,@adeisaguimaraes
,Maravilhosa,1572309667,@adrianarclua
,"Ficou lindo demaisssss, dx eu morar aí",1572303424,@nandasouzatattoo
,"Coisaaaaa mais linda. Real tudo isso. Parabéns, nanda, tá conquistando teu lugar com maestria. Tu merece demais da conta. 💓👏",1572295981,@nandasouzatattoo
,Nem dá p superar,1571881544,@mrafaelalopes
,Impactada com essa beleza toda vez que vejo,1571881541,@mrafaelalopes
,Dona da beleza do mundo tudo,1571881503,@mrafaelalopes
,Proprietária da empresa beleza,1571881490,@mrafaelalopes
,"Oci mdss, coisa lindaaa",1571279400,@tatty.ksantos
,Saudades eternas.,1571239550,@eduardajoaquina4
,O melhorrr,1571170371,@hansenoficial
,Qual o site para se inscrever ?,1571063900,@univasfinforma
,Essa menina é linda demais,1571018994,@luanaci09
,"Ave maria, tiro no meio do meu coração",1571018989,@luanaci09
,@ms.finese @italogiullian @elainesilva9843,1570408863,@nandasouzatattoo
,Merece o mundo,1570283167,@nandasouzatattoo
,A melhor,1570283143,@nandasouzatattoo
,Maravilhoso demais essa mulher e tatuadora💓💓,1570283138,@nandasouzatattoo
,Ahazadora,1570116221,@olgazevedo
,@italogiullian quero,1569962486,@larissaalencarof
,Quanto o volume russo ?,1569800199,@top_cilios
,O melhor,1569694999,@hansenoficial
,Princesa linda e inteligente,1569095455,@eduardajoaquina4
,Que coisa linda,1568459091,@larissasantos6
,@italogiullian 😍😍😍,1567938497,@triptaminaworld
,Princesa do direito,1567695198,@beatrizgtorress
,@italogiullian vale a pena ler livros assim,1567468163,@menteempreendedora
,Ainda tem o body ?,1567388759,@meninastore_
,Abre um com coxinha vegetariana @felipeneto,1567106199,@sociedadevegetariana
,Coxinha veggg pf @felipeneto,1567106171,@sociedadevegetariana
,👏👏👏👏,1566832714,@vivianlavorpsi
,💗💗💗💗 lindoss,1566681919,@luh_kely
,@ninaewilly,1566679908,@hojenageografia
,@elainesilva9843,1566679898,@hojenageografia
,@italogiullian,1566679876,@hojenageografia
,Uma princesa,1566164242,@beatrizgtorress
,Aja coração,1566074991,@__starangel
,Af,1566074986,@__starangel
,Af,1566074985,@__starangel
,Af,1566074984,@__starangel
,"Mais princesa ainda. Achei que não tinha como, mas ficou mais lindo do que nunca",1565911906,@mandasmelo
,"@italogiullian saudade, mv",1565777462,@darmaespiritual
,Como faz para participar também ? Quero a mobilidade,1565753485,@pdv_l
,@italogiullian lindo nenê,1565523815,@soucaos
,@italogiullian tu,1565276750,@soucaos
,Só vejo beleza,1565224477,@clediniuda
,Queria informações sobreee,1564716169,@barbaramotah
,"Linda, porém esqueceu 2737421 pilhas dentro da minha bolsa",1564591848,@mrafaelalopes
,Tem na loja ?,1564536223,@emporiodamodasalgueiro
,Pior tipo de ser humano.,1564502153,@del.brunolima
